L 05/09/2011 - 00:01:22: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slay "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>"
L 05/09/2011 - 00:01:35: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" transfer "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" (team "TERRORIST")
L 05/09/2011 - 00:07:01: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:02: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:02: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:02: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:03: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:03: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:03: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:03: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:03: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:04: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:04: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:04: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:05: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:05: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:05: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:06: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:07: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:07: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:07: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:08: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:08: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:08: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:08: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:09: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
L 05/09/2011 - 00:07:09: [plmenu.amxx] Cmd: "[o_VIP_o]                (^_^)V<895><STEAM_0:4:446327478><>" slap with 0 damage "____***Dj***____<891><STEAM_0:0:1965368411><>"
